groupLevelID,created_at,jobTitleID,groupLevel
6001,2026-03-18T16:13:53.526842+00:00,5001,afe59e7b-9be2-4424-874d-ff16343e8c5d
6001,2026-03-18T16:14:36.853455+00:00,5003,2abb8d51-3da7-4de8-8469-0c00b55d81bf
6001,2026-03-18T16:14:54.365202+00:00,5004,943a28e5-6efc-465d-875d-c00db75df19f
6001,2026-03-18T16:15:10.8637+00:00,5005,2e6c2de6-304d-4c5e-a71a-7b619974a5e3
6001,2026-03-18T16:15:20.585566+00:00,5006,fa391105-9be5-425d-9b0c-d219a9f7cc54
6001,2026-03-18T16:15:34.73807+00:00,5007,4cd8ae08-6274-4cc9-b3f9-e242f3a9b376
6001,2026-03-18T16:16:12.593824+00:00,5008,27051319-ae1a-4a53-a4b3-76f5c1da7348
6001,2026-03-18T16:16:24.716199+00:00,5009,db0285aa-6db9-4a41-8511-4c1fe76a8538
6001,2026-03-18T16:16:40.99649+00:00,5010,62c96687-17da-4a60-8e68-38cb1b4b59b2
6001,2026-03-18T16:16:55.757954+00:00,5010,218f6201-721f-498b-a701-20492410ec3f
6001,2026-03-18T16:17:05.378309+00:00,5011,fd81cea8-c4f8-4a2f-8388-ec575845905b
6001,2026-03-18T16:17:16.790348+00:00,5012,6f52eb70-ffb0-4aeb-b285-d06e92ae993f
6002,2026-03-18T16:17:33.49795+00:00,5009,e79625ad-bd6f-4985-b7f7-03191d95899b
6002,2026-03-18T16:17:51.835382+00:00,5010,c52d1919-38fb-42aa-bd16-1e217ca188fe
6002,2026-03-18T16:18:03.401965+00:00,5011,9b12778b-03a3-4333-ae04-95df2c6d8d3d
6002,2026-03-18T16:18:15.252489+00:00,5012,fde14fb1-d512-4f08-b445-8615860bfed3
6002,2026-03-18T16:18:28.942802+00:00,5001,4f85ed47-36b6-490b-9bf6-1d7282ee3887
6002,2026-03-18T16:18:44.072679+00:00,5006,03610bfb-79db-499c-9ffd-ddb0f4318e37
6002,2026-03-18T16:18:52.262753+00:00,5007,96937aff-86fd-4d2a-b509-2d00f302c91f
6003,2026-03-18T16:19:11.079975+00:00,5001,e967522b-1f01-4f03-a704-4ca5f8e5d784
6003,2026-03-18T16:19:24.565158+00:00,5002,a60dd762-8a4a-4210-8e94-39882175f46c
6003,2026-03-18T16:19:33.630757+00:00,5006,e6dd44b4-fd7f-4a8a-8b0c-5884cfa6f1d5
6003,2026-03-18T16:19:43.274373+00:00,5007,ef5698fb-be98-46ff-a147-292aa1b73c74
6003,2026-03-18T16:19:54.784753+00:00,5012,e615912e-8c17-41f1-acc0-5bb4df49b018
