jobTitleID,jobTitle
5001,Engineer
5002,Manager
5003,Manufacturing Assistant 3
5004,Operator 1
5005,Operator 2
5006,Senior Engineer
5007,Senior Technician
5008,Technician 1
5009,Technician 2
5010,Technician 3
5011,Technician 4
5012,Technician 5
